"id","ativo","name","tipo","timeframe","setup","identificadoEm","analise","nivelDeEntrada","stopLoss","filePath","nivelDeAlvo","periodoDeAlvo","tipoMercado","userId","profit","createdAt","mt5_order","mt5_ticket","status","riscoLoss","riscoProfit","type"
"606783969766600303_pending",USDCAD,US Dollar vs Canadian Dollar,compra,"60",Resistência,2025-09-09 16:08:11.450,Aproximando-se do nível de Resistência de 1.3858 identificado em 9/9 16:00. Este padrão ainda está em processo de formação. Previsão de possível movimento de baixa até a resistência de 1.3858 no próximo intervalo de 2 dias.,1.3835,1.3813,https://component.autochartist.com/to/resources/charts/KeyLevel_606783969766600303.png?account_type=LIVE&broker_id=958&expire=1757693289&locale=pt-BR&user=BlackBots&token=4365350db10263ba97cb0f55dfbcf97e&width=240&height=180,1.3858,"2 dias",Internacional,BlackBots - Trade Ideas,104.56,2025-09-09 16:08:11.450,"177588995","0",FECHADO,100.34,104.56,Apregoado
"606787974969607303_market",EUSTX50,EU Stock 50,venda,"60",Sustentação,2025-09-10 09:03:30.481,"Aproximando-se do nível de Sustentação de 5,344.2000 identificado em 9/10 09:00. Este padrão ainda está em processo de formação. Previsão de possível movimento de baixa até o suporte de 5,344.2000 no próximo intervalo de 14 horas.",5375.9,5389.533,https://component.autochartist.com/to/resources/charts/KeyLevel_606787974969607303.png?account_type=LIVE&broker_id=958&expire=1757754208&locale=pt-BR&user=BlackBots&token=3d8ed9bb915bd302c246ccbeb51b3302&width=240&height=180,5344.2002,"14 horas",Internacional,BlackBots - Trade Ideas,-100.26,2025-09-10 09:03:30.482,"177724735","148088398",FECHADO,100.5,233.65,A mercado
"606783972451462301_pending",LTCUSD,Litecoin vs US Dollar,venda,"60",Triângulo Descendente,2025-09-09 16:08:11.930,Triângulo Descendente rompeu a linha de suporte em 9/9 16:00. Previsão de possível movimento de baixa no próximo intervalo de 22 horas até 109.9799.,111.496,114.53,https://component.autochartist.com/to/resources/charts/ChartPattern_606783972451462301.png?account_type=LIVE&broker_id=958&expire=1757693289&locale=pt-BR&user=BlackBots&token=4365350db10263ba97cb0f55dfbcf97e&width=240&height=180,109.9799,"22 horas",Internacional,BlackBots - Trade Ideas,-75.75,2025-09-09 16:08:11.930,"177588999","0",FECHADO,75.85,37.9,Apregoado
"606786089773725301_market",AUDCAD,Australian Dollar vs Canadian Dollar,compra,"60",Canal ascendente,2025-09-10 04:08:50.910,Canal ascendente identificado(a) em 9/10 01:00. Este padrão ainda está em processo de formação. Previsão de possível movimento de alta até a resistência de 0.9173 no próximo intervalo de 12 horas.,0.9149,0.9106,https://component.autochartist.com/to/resources/charts/ChartPattern_606786089773725301.png?account_type=LIVE&broker_id=958&expire=1757736529&locale=pt-BR&user=BlackBots&token=ca4967980179f1dc187f69968ebd6a0f&width=240&height=180,0.9173,"12 horas",Internacional,BlackBots - Trade Ideas,55.48,2025-09-10 04:08:50.910,"177683736","148051951",FECHADO,99.34,55.45,A mercado
"606785853015971301_pending",AUS200,S&P/ASX200 Index,venda,"60",Cunha descendente,2025-09-10 00:04:27.771,"Cunha descendente identificado(a) em 9/10 00:00. Este padrão ainda está em processo de formação. Previsão de possível movimento de baixa até o suporte de 8,755.18 no próximo intervalo de 15 horas.",8785.2,8818.0,https://component.autochartist.com/to/resources/charts/ChartPattern_606785853015971301.png?account_type=LIVE&broker_id=958&expire=1757721866&locale=pt-BR&user=BlackBots&token=40425e0901be636aba3ac72e18cedaa1&width=240&height=180,8755.18,"15 horas",Internacional,BlackBots - Trade Ideas,0.0,2025-09-10 00:04:27.772,"177650546","0",EXPIRADA,99.37,90.94,Apregoado
"606789633836466301_pending",SpotBrent,Brent Crude vs US Dollar,compra,"60",Triângulo,2025-09-10 16:08:33.168,Triângulo rompeu a linha de resistência em 9/10 16:00. Previsão de possível movimento de alta no próximo intervalo de 13 horas até 68.5504.,67.5193,67.056,https://component.autochartist.com/to/resources/charts/ChartPattern_606789633836466301.png?account_type=LIVE&broker_id=958&expire=1757779710&locale=pt-BR&user=BlackBots&token=641284dc265bf3ff0fea057b991b5585&width=240&height=180,68.5504,"13 horas",Internacional,BlackBots - Trade Ideas,0.0,2025-09-10 16:08:33.169,"177812701","0",EXPIRADA,100.54,223.75,Apregoado
"606794107609791303_pending",GBPJPY,Great Britain Pound vs Japanese Yen,compra,"60",Resistência,2025-09-11 11:03:19.314,Rompeu o nível de Resistência de 199.87 em 9/11 11:00. Previsão de possível movimento de alta no próximo intervalo de 1 dia até 200.45.,199.98,199.48,https://component.autochartist.com/to/resources/charts/KeyLevel_606794107609791303.png?account_type=LIVE&broker_id=958&expire=1757847797&locale=pt-BR&user=BlackBots&token=b0c71c0272e917c0061894339a708d12&width=240&height=180,200.45,"1 dia",Internacional,BlackBots - Trade Ideas,-101.99,2025-09-11 11:03:19.315,"177963215","0",FECHADO,101.39,95.31,Apregoado
"606789870780593301_pending",UK100,FTSE 100,venda,"240",Cunha ascendente,2025-09-10 17:08:10.802,"Cunha ascendente rompeu a linha de suporte em 9/10 17:00. Previsão de possível movimento de baixa no próximo intervalo de 2 dias até 9,212.2.",9242.2,9294.9,https://component.autochartist.com/to/resources/charts/ChartPattern_606789870780593301.png?account_type=LIVE&broker_id=958&expire=1757783288&locale=pt-BR&user=BlackBots&token=741f7d347484c2568f25f2753309ae63&width=240&height=180,9212.2,"2 dias",Internacional,BlackBots - Trade Ideas,-100.07,2025-09-10 17:08:10.803,"177818906","0",FECHADO,99.88,56.85,Apregoado
"606790803473072301_market",NAS100,US Tech 100,venda,"240",Cunha ascendente,2025-09-10 22:00:54.836,"Cunha ascendente rompeu a linha de suporte em 9/10 21:00. Previsão de possível movimento de baixa no próximo intervalo de 1 dia até 23,540.7973.",23844.0,24019.4,https://component.autochartist.com/to/resources/charts/ChartPattern_606790803473072301.png?account_type=LIVE&broker_id=958&expire=1757800853&locale=pt-BR&user=BlackBots&token=87246154589fd494e2948b1e2d164b11&width=240&height=180,23540.7973,"1 dia",Internacional,BlackBots - Trade Ideas,-105.24,2025-09-10 22:00:54.836,"177843437","148192585",FECHADO,105.24,181.92,A mercado
"606811797820508301_market",BTCUSD,Bitcoin vs US Dollar,venda,"60",Triângulo,2025-09-14 21:03:58.870,"Triângulo rompeu a linha de suporte em 9/14 14:00. Previsão de possível movimento de baixa no próximo intervalo de 8 horas até 114,978.27.",115899.29,116251.01,https://component.autochartist.com/to/resources/charts/ChartPattern_606811797820508301.png?account_type=LIVE&broker_id=958&expire=1758143037&locale=pt-BR&user=BlackBots&token=d51909f293bfa55da7bb384195f25af4&width=240&height=180,114978.27,"8 horas",Internacional,BlackBots - Trade Ideas,257.89,2025-09-14 21:03:58.870,"179459413","148642339",FECHADO,98.43,257.94,A mercado
"02058f82-be0d-4499-abbc-d219fdc48558_pending",Coffee,Coffee,compra,"1440",Rompimento,2025-09-12 14:12:21.487,Expectativa de rompimento de zona de lateralização de preços em região de topo gráfico,402.0,392.0,https://firebasestorage.googleapis.com/v0/b/blackbots-59708.appspot.com/o/trades%2F9SGc51UbDeajiTOpQdZ5qeoUMLk2%2F1757686321726-45.png?alt=media&token=d8a5bbf8-1d66-4cf4-96ab-13020f3235b8,422.0,"2025-09-15 18:00:00",Internacional,Método Palex,0.0,2025-09-12 14:12:21.487,"179095031","0",EXPIRADA,100.0,200.0,Apregoado
